Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-01-04,51.7925,51.7925,50.3107,50.3107,127701.79011859
2016-01-05,50.3183,51.1296,50.0065,50.1394,210691.69920112
2016-01-07,48.7188,49.1407,47.6665,48.758,325702.43990513
2016-01-08,48.758,49.0622,46.4257,46.4257,261191.43466502
2016-01-11,46.8083,46.9097,44.6473,44.6473,298941.58362786
2016-01-12,44.5458,47.1977,44.5458,46.153,173096.25539546
2016-01-13,47.19,47.3154,46.418,46.6677,190083.5088372
2016-01-14,46.1836,46.1836,45.029,45.6374,280639.33635006
2016-01-15,45.2863,46.1836,44.2799,44.2799,171099.72262371
2016-01-18,43.6877,44.8577,41.7763,42.1274,264316.89696216
2016-01-19,43.063,43.4926,41.9007,42.9071,203714.28755115
2016-01-20,42.1274,44.7716,41.7601,44.3899,236014.21563864
2016-01-21,44.4751,44.9515,42.2833,43.1415,267414.13602117
2016-01-22,43.6877,43.6877,42.5952,43.2974,701367.3284445
2016-01-25,43.4926,44.1555,42.7119,43.9604,422708.84528945
2016-01-26,43.5155,43.8982,42.9071,43.2352,422490.37652018
2016-01-27,43.3366,45.2318,43.3366,45.2318,260504.66920375
2016-01-28,45.4815,46.9566,45.4815,46.418,222258.00031076
2016-01-29,46.9719,46.9719,45.3877,46.9643,243119.15451277
2016-02-01,47.081,47.588,46.6515,46.9643,163454.36100456
2016-02-02,46.8083,47.2761,46.0746,46.1836,245725.10016721
2016-02-03,46.1836,47.081,45.4585,46.9796,237945.93949319
2016-02-04,47.2761,48.8757,47.1202,48.6413,295602.87908704
2016-02-05,48.9139,48.9771,47.1977,47.1977,188675.48284582
2016-02-08,47.744,47.8846,46.5893,46.948,90439.798644972
2016-02-09,46.7997,47.9468,46.1444,47.8607,154505.50390562
2016-02-10,47.8922,48.2749,47.5182,47.9783,164646.00883691
2016-02-11,47.8224,48.0089,47.1279,47.3536,231539.26443661
2016-02-12,47.5727,47.9162,46.1836,46.1836,138636.72693811
2016-02-15,46.6055,47.588,46.4955,46.5816,95567.020239442
2016-02-16,46.816,47.0341,46.1062,46.3788,97765.296898601
2016-02-17,46.3788,48.9139,46.3788,48.9139,330184.70824297
2016-02-18,49.0938,50.459,48.5629,49.5386,270921.13468568
2016-02-19,49.531,49.531,48.0721,48.6566,199257.1065361
2016-02-22,49.5386,49.5386,48.6805,48.7188,288732.08855891
2016-02-23,48.6729,48.9139,48.3055,48.5715,116437.5821875
2016-02-24,48.6021,48.8365,47.5957,47.7908,135042.96794896
2016-02-25,47.9707,47.9707,47.4321,47.9162,221932.91041966
2016-02-26,48.493,49.0546,46.6515,47.1202,307198.44873993
2016-02-29,46.8466,46.8935,46.2851,46.7069,393789.43394742
2016-03-01,46.7222,47.19,46.0277,46.7529,177765.63334908
2016-03-02,46.8083,47.9707,46.2697,47.5727,322343.87456711
2016-03-03,47.5727,47.7593,46.7691,47.7593,400407.26063745
2016-03-04,47.588,48.3055,47.1977,48.2672,244275.26197118
2016-03-07,48.2672,49.6946,47.8846,49.2574,188533.32135003
2016-03-08,49.4057,51.0282,49.398,50.4905,267501.94165092
2016-03-09,50.5527,50.701,49.6161,50.5451,141529.08619436
2016-03-10,50.7239,53.0486,50.5058,52.1675,334896.94370635
2016-03-11,52.4871,54.3592,52.4019,54.211,373457.20413416
2016-03-14,54.5544,54.5621,52.6899,52.909,129302.15225134
2016-03-15,53.0486,53.0486,51.4969,51.5668,154605.85319677
2016-03-16,52.0346,52.9243,52.0346,52.4325,192154.2582722
2016-03-17,53.4389,53.7125,52.5033,53.4389,186038.1780379
2016-03-18,53.0486,53.7432,51.8786,53.7432,469363.94853634
2016-03-21,53.2046,53.7125,52.2766,53.0333,177264.93219847
2016-03-22,52.3464,52.4096,50.8646,52.1054,367864.82176303
2016-03-23,52.7368,52.8152,50.966,51.3716,263440.93127487
2016-03-24,50.9813,52.1522,50.9736,51.4883,158458.84785472
2016-03-29,52.0193,52.0193,50.4743,50.5757,118530.28302993
2016-03-30,50.7402,51.4108,50.5757,51.1066,152602.00328921
2016-03-31,50.9813,51.231,50.6388,50.6771,262300.50339321
2016-04-01,51.4807,54.211,51.3324,53.4705,2264506.1460093
2016-04-04,53.8293,57.2225,53.0486,57.0666,434772.71163436
2016-04-05,57.5583,57.9639,55.2336,55.7014,436041.7120453
2016-04-06,56.1692,56.1692,53.283,54.2971,378412.99568959
2016-04-07,54.5936,54.8825,53.5174,53.9775,259305.70423558
2016-04-08,53.5557,55.3188,53.5557,54.6089,262185.51983043
2016-04-11,55.0069,55.3896,54.3124,54.6089,138138.11639773
2016-04-12,54.6166,54.8357,53.8293,54.5314,207680.17516163
2016-04-13,54.9916,55.3427,54.2818,54.5314,124089.21563735
2016-04-14,54.6874,55.2021,54.5391,54.9218,140359.38976944
2016-04-15,54.9993,55.116,54.1335,55.116,220545.79053059
2016-04-18,54.9218,54.9218,54.165,54.8433,80139.362030923
