Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-01-04,44.3657,44.7816,43.388,43.6582,1482638.5411612
2016-01-05,43.9612,44.4181,43.0875,43.4773,1346985.7753719
2016-01-07,42.9933,45.3196,42.6969,43.5247,2298131.8119923
2016-01-08,43.7057,43.8661,42.1598,42.4824,1270910.8484423
2016-01-11,42.3334,43.894,42.0304,43.4486,2064748.3326539
2016-01-12,43.7262,44.7341,43.329,43.881,2073511.0367479
2016-01-13,44.1626,44.6408,43.894,44.0946,1552699.8715808
2016-01-14,43.6918,43.9612,42.6707,43.3839,1396575.9634886
2016-01-15,43.0269,43.8858,42.8992,43.5845,1306114.3251684
2016-01-18,43.5583,43.8334,42.7043,42.7043,972133.78154799
2016-01-19,43.1743,44.2699,43.121,43.9612,1258720.0035271
2016-01-20,42.9131,44.4991,42.9131,43.2422,2531479.8741295
2016-01-21,43.5583,44.3984,43.2021,43.9882,1736013.1986619
2016-01-22,43.9882,44.4786,43.4838,43.6779,2087586.3210244
2016-01-25,43.9956,44.3575,42.9401,44.2699,1541478.7252093
2016-01-26,43.6246,44.459,43.5649,43.6516,1707021.1662594
2016-01-27,43.4298,43.7262,42.3489,42.9794,2185391.5328243
2016-01-28,42.7706,43.388,41.8233,41.9444,2196168.1322564
2016-01-29,42.2531,42.6772,40.4321,41.8437,2665511.9976424
2016-02-01,42.005,42.005,40.9356,41.2919,1664199.3274234
2016-02-02,41.4941,41.6357,40.4927,40.5795,1971504.612114
2016-02-03,40.5459,40.6736,38.9869,39.3955,2717074.557482
2016-02-04,39.3226,39.854,39.0884,39.7942,1513232.896598
2016-02-05,39.9948,41.2116,39.6656,41.0168,1492689.6986098
2016-02-08,41.0036,41.3999,40.3518,40.8349,1803771.1897197
2016-02-09,40.8685,40.8685,39.6321,40.2642,1598881.4594012
2016-02-10,40.3314,40.4452,39.1211,39.1408,1706342.1330223
2016-02-11,39.0597,39.1883,38.2475,38.9189,1292834.0959951
2016-02-12,38.9066,39.1883,38.1869,38.7445,1152180.1771376
2016-02-15,39.2546,39.3767,38.195,38.9189,1513395.3272104
2016-02-16,38.7175,39.5985,37.9772,39.5985,1683833.891008
2016-02-17,39.6452,42.2727,39.6051,42.2727,2231641.5124815
