"","dist","sample","model","prop_fails_hist","prop_fails_cond","pof_hist","pof_cond","tbfi_hist","tbfi_cond"
"1","norm","500","sGARCH","0.049","0.046","0.884270830461629","0.556551417147858","0.0869341416028915","0.130653242095516"
"2","norm","500","eGARCH","0.041","0.033","0.178266317505378","0.00872439858695129","0.0260241324410732","0.0886877066684653"
"3","norm","500","gjrGARCH","0.047","0.04","0.660286484806318","0.133320186818957","0.105212618885046","0.156896632929875"
"4","norm","500","iGARCH","0.05","0.046","1","0.556551417147858","0.04229454352785","0.0415217707164756"
"5","norm","750","sGARCH","0.046","0.044","0.556551417147858","0.37456058550562","0.181644375481156","0.12740950130902"
"6","norm","750","eGARCH","0.042","0.033","0.233157393310234","0.00872439858695129","0.20319876816299","0.1143969303497"
"7","norm","750","gjrGARCH","0.043","0.034","0.298544544037167","0.0139621346380717","0.234266823664567","0.311010560248311"
"8","norm","750","iGARCH","0.053","0.045","0.666277016917796","0.460852518142863","0.119551861654402","0.0477894101480061"
"9","norm","1000","sGARCH","0.046","0.044","0.556551417147858","0.37456058550562","0.12222412043876","0.180133550236717"
"10","norm","1000","eGARCH","0.048","0.035","0.770244601379814","0.0217164721835988","0.184057010302191","0.235157678914071"
"11","norm","1000","gjrGARCH","0.052","0.037","0.773049734319043","0.0484210466863134","0.106507792103037","0.433781704247868"
"12","norm","1000","iGARCH","0.054","0.046","0.566450237545681","0.556551417147858","0.149373295086152","0.268106849532726"
"13","sstd","500","sGARCH","0.051","0.05","0.884994415865733","1","0.0475446692618993","0.0976819036445019"
"14","sstd","500","eGARCH","0.042","0.047","0.233157393310234","0.660286484806318","0.0988881114958124","0.115638175733112"
"15","sstd","500","gjrGARCH","0.047","0.048","0.660286484806318","0.770244601379814","0.0625364892302221","0.0442403590102881"
"16","sstd","500","iGARCH","0.051","0.048","0.884994415865733","0.770244601379814","0.0163012663323536","0.0248038543245627"
"17","sstd","750","sGARCH","0.045","0.049","0.460852518142863","0.884270830461629","0.118825264337855","0.0898171437821513"
"18","sstd","750","eGARCH","0.039","0.043","0.0974435768751059","0.298544544037167","0.0631120730897025","0.0545138037815267"
"19","sstd","750","gjrGARCH","0.045","0.044","0.460852518142863","0.37456058550562","0.0606430116579079","0.0745941187107841"
"20","sstd","750","iGARCH","0.053","0.049","0.666277016917796","0.884270830461629","0.0459622143305576","0.0523412386764515"
"21","sstd","1000","sGARCH","0.048","0.048","0.770244601379814","0.770244601379814","0.0724205498493729","0.0883245036482364"
"22","sstd","1000","eGARCH","0.047","0.049","0.660286484806318","0.884270830461629","0.146179914563775","0.14985758302702"
"23","sstd","1000","gjrGARCH","0.053","0.045","0.666277016917796","0.460852518142863","0.0616328950196092","0.0897672861863228"
"24","sstd","1000","iGARCH","0.053","0.05","0.666277016917796","1","0.0693744275668819","0.13654688077944"
