"","dist","sample","model","prop_fails_hist","prop_fails_cond","pof_hist","pof_cond","tbfi_hist","tbfi_cond"
"1","norm","500","sGARCH","0.046","0.05","0.556551417147858","1","0.173347326540277","0.170347300763277"
"2","norm","500","eGARCH","0.049","0.052","0.884270830461629","0.773049734319043","0.117174430833416","0.0546203219666266"
"3","norm","500","gjrGARCH","0.047","0.052","0.660286484806318","0.773049734319043","0.157812925750645","0.0772074298443409"
"4","norm","500","iGARCH","0.05","0.049","1","0.884270830461629","0.102386349186765","0.0517589459125014"
"5","norm","750","sGARCH","0.051","0.051","0.884994415865733","0.884994415865733","0.102572307318556","0.102572307318556"
"6","norm","750","eGARCH","0.045","0.048","0.460852518142863","0.770244601379814","0.0544137667480002","0.0613726452210435"
"7","norm","750","gjrGARCH","0.051","0.051","0.884994415865733","0.884994415865733","0.102572307318556","0.102572307318556"
"8","norm","750","iGARCH","0.051","0.045","0.884994415865733","0.460852518142863","0.0225383056934512","0.0706279273805129"
"9","norm","1000","sGARCH","0.047","0.05","0.660286484806318","1","0.0122168458991324","0.0258693220221036"
"10","norm","1000","eGARCH","0.048","0.048","0.770244601379814","0.770244601379814","0.0238103128993004","0.0238103128993004"
"11","norm","1000","gjrGARCH","0.048","0.049","0.770244601379814","0.884270830461629","0.0699718579032674","0.0281748198277819"
"12","norm","1000","iGARCH","0.055","0.052","0.474930337870704","0.773049734319043","0.063259628263802","0.0522795997683706"
"13","sstd","500","sGARCH","0.047","0.053","0.660286484806318","0.666277016917796","0.211239890240762","0.153058454630336"
"14","sstd","500","eGARCH","0.048","0.051","0.770244601379814","0.884994415865733","0.257123339171571","0.120789500771908"
"15","sstd","500","gjrGARCH","0.047","0.054","0.660286484806318","0.566450237545681","0.0595434868394851","0.0257541902074706"
"16","sstd","500","iGARCH","0.051","0.05","0.884994415865733","1","0.277648495162865","0.29035183869485"
"17","sstd","750","sGARCH","0.05","0.051","1","0.884994415865733","0.207738305783696","0.302592396809397"
"18","sstd","750","eGARCH","0.046","0.054","0.556551417147858","0.566450237545681","0.0595595170532094","0.100405670765156"
"19","sstd","750","gjrGARCH","0.051","0.052","0.884994415865733","0.773049734319043","0.104455925808344","0.165027581314294"
"20","sstd","750","iGARCH","0.052","0.051","0.773049734319043","0.884994415865733","0.21646738811929","0.406602908982671"
"21","sstd","1000","sGARCH","0.048","0.049","0.770244601379814","0.884270830461629","0.0513881484474246","0.0203976780111584"
"22","sstd","1000","eGARCH","0.047","0.048","0.660286484806318","0.770244601379814","0.0594505968662338","0.0238103128993004"
"23","sstd","1000","gjrGARCH","0.048","0.05","0.770244601379814","1","0.029089415884655","0.043690376823328"
"24","sstd","1000","iGARCH","0.051","0.048","0.884994415865733","0.770244601379814","0.197351531453211","0.0942222717827947"
