"","dist","sample","model","prop_fails_hist","prop_fails_cond","pof_hist","pof_cond","tbfi_hist","tbfi_cond"
"1","norm","500","sGARCH","0.05","0.045","1","0.460852518142863","0.0503462578609315","0.0409079950311667"
"2","norm","500","eGARCH","0.045","0.037","0.460852518142863","0.0484210466863134","0.256215218334132","0.0643141111067668"
"3","norm","500","gjrGARCH","0.047","0.038","0.660286484806318","0.0695442569566153","0.105207721396344","0.0916392322668799"
"4","norm","500","iGARCH","0.048","0.045","0.770244601379814","0.460852518142863","0.0557467468420558","0.0504360133724719"
"5","norm","750","sGARCH","0.048","0.043","0.770244601379814","0.298544544037167","0.0269053773967703","0.0728702526258954"
"6","norm","750","eGARCH","0.047","0.037","0.660286484806318","0.0484210466863134","0.0169847871901304","0.02895069243908"
"7","norm","750","gjrGARCH","0.047","0.038","0.660286484806318","0.0695442569566153","0.0310989621993717","0.171061518629561"
"8","norm","750","iGARCH","0.049","0.041","0.884270830461629","0.178266317505378","0.00557958159777017","0.0501244404121086"
"9","norm","1000","sGARCH","0.046","0.045","0.556551417147858","0.460852518142863","0.0239861249173152","0.0141235208860392"
"10","norm","1000","eGARCH","0.045","0.041","0.460852518142863","0.178266317505378","0.00363393083782415","0.016199547915942"
"11","norm","1000","gjrGARCH","0.048","0.041","0.770244601379814","0.178266317505378","0.0145284310111146","0.00600380276293266"
"12","norm","1000","iGARCH","0.05","0.043","1","0.298544544037167","0.00497165463938365","0.0445457095313145"
"13","sstd","500","sGARCH","0.049","0.057","0.884270830461629","0.320004518036221","0.0198141645031183","0.0351101376174837"
"14","sstd","500","eGARCH","0.048","0.048","0.770244601379814","0.770244601379814","0.125890620213476","0.153893399787471"
"15","sstd","500","gjrGARCH","0.048","0.051","0.770244601379814","0.884994415865733","0.182807813519889","0.183115056046014"
"16","sstd","500","iGARCH","0.053","0.057","0.666277016917796","0.320004518036221","0.0397441572659882","0.0371404026025075"
"17","sstd","750","sGARCH","0.051","0.056","0.884994415865733","0.392628040854119","0.0553461259206804","0.0859249783794507"
"18","sstd","750","eGARCH","0.052","0.053","0.773049734319043","0.666277016917796","0.0567808309490512","0.0652074148454823"
"19","sstd","750","gjrGARCH","0.049","0.055","0.884270830461629","0.474930337870704","0.142822971372475","0.102391142928671"
"20","sstd","750","iGARCH","0.047","0.054","0.660286484806318","0.566450237545681","0.0186263822802378","0.0184674146717146"
"21","sstd","1000","sGARCH","0.05","0.056","1","0.392628040854119","0.0825205292018064","0.0859249783794507"
"22","sstd","1000","eGARCH","0.049","0.054","0.884270830461629","0.566450237545681","0.0510027740279637","0.0539755654986598"
"23","sstd","1000","gjrGARCH","0.049","0.053","0.884270830461629","0.666277016917796","0.0857217419554999","0.04096701604769"
"24","sstd","1000","iGARCH","0.049","0.055","0.884270830461629","0.474930337870704","0.0237881496007996","0.0226800760595289"
