"","dist","sample","model","prop_fails_hist","prop_fails_cond","pof_hist","pof_cond","tbfi_hist","tbfi_cond"
"1","norm","500","sGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"2","norm","500","eGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"3","norm","500","gjrGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"4","norm","500","iGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"5","norm","750","sGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"6","norm","750","eGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"7","norm","750","gjrGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"8","norm","750","iGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"9","norm","1000","sGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"10","norm","1000","eGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"11","norm","1000","gjrGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"12","norm","1000","iGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"13","sstd","500","sGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"14","sstd","500","eGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"15","sstd","500","gjrGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"16","sstd","500","iGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"17","sstd","750","sGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"18","sstd","750","eGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"19","sstd","750","gjrGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"20","sstd","750","iGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"21","sstd","1000","sGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"22","sstd","1000","eGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"23","sstd","1000","gjrGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
"24","sstd","1000","iGARCH","0","0","0.311131633487052","0.311131633487052",NA,NA
